month,pop,time,type
Feb,10750216.833333332,avg,total
Feb,5112052.125000002,avg,male
Feb,5637955.291666664,avg,female
Jan,10620269.0,0,total
Jan,10609966.0,1,total
Jan,10602518.0,2,total
Jan,10597648.0,3,total
Jan,10598193.0,4,total
Jan,10608328.0,5,total
Jan,10640206.0,6,total
Jan,10749912.0,7,total
Jan,10915528.0,8,total
Jan,11036498.0,9,total
Jan,11113394.0,10,total
Jan,11166187.0,11,total
Jan,11210767.0,12,total
Jan,11248237.0,13,total
Jan,11265779.0,14,total
Jan,11263951.0,15,total
Jan,11248107.0,16,total
Jan,11223588.0,17,total
Jan,11160990.0,18,total
Jan,11039633.0,19,total
Jan,10947944.0,20,total
Jan,10865866.0,21,total
Jan,10773669.0,22,total
Jan,10660112.0,23,total
Jan,5050900.0,0,male
Jan,5044137.0,1,male
Jan,5039407.0,2,male
Jan,5036607.0,3,male
Jan,5036732.0,4,male
Jan,5043426.0,5,male
Jan,5062969.0,6,male
Jan,5118745.0,7,male
Jan,5187971.0,8,male
Jan,5238483.0,9,male
Jan,5268933.0,10,male
Jan,5288224.0,11,male
Jan,5306301.0,12,male
Jan,5322614.0,13,male
Jan,5331628.0,14,male
Jan,5333990.0,15,male
Jan,5334523.0,16,male
Jan,5332649.0,17,male
Jan,5313118.0,18,male
Jan,5258971.0,19,male
Jan,5215068.0,20,male
Jan,5175605.0,21,male
Jan,5129871.0,22,male
Jan,5071195.0,23,male
Jan,5569141.0,0,female
Jan,5565614.0,1,female
Jan,5562905.0,2,female
Jan,5560846.0,3,female
Jan,5561246.0,4,female
Jan,5564701.0,5,female
Jan,5577020.0,6,female
Jan,5630945.0,7,female
Jan,5727331.0,8,female
Jan,5797799.0,9,female
Jan,5844238.0,10,female
Jan,5877755.0,11,female
Jan,5904273.0,12,female
Jan,5925422.0,13,female
Jan,5933938.0,14,female
Jan,5929763.0,15,female
Jan,5913377.0,16,female
Jan,5890731.0,17,female
Jan,5847642.0,18,female
Jan,5780431.0,19,female
Jan,5732657.0,20,female
Jan,5690058.0,21,female
Jan,5643589.0,22,female
Jan,5588716.0,23,female
Jan,10923637.083333328,avg,total
Jan,5189252.791666664,avg,male
Jan,5734172.416666669,avg,female
Jul,10513540.0,0,total
Jul,10500522.0,1,total
Jul,10492978.0,2,total
Jul,10487977.0,3,total
Jul,10487536.0,4,total
Jul,10492454.0,5,total
Jul,10524536.0,6,total
Jul,10642773.0,7,total
Jul,10802667.0,8,total
Jul,10917730.0,9,total
Jul,10979200.0,10,total
Jul,11014011.0,11,total
Jul,11044285.0,12,total
Jul,11074477.0,13,total
Jul,11090027.0,14,total
Jul,11090758.0,15,total
Jul,11079606.0,16,total
Jul,11061104.0,17,total
Jul,10996955.0,18,total
Jul,10887355.0,19,total
Jul,10811338.0,20,total
Jul,10745710.0,21,total
Jul,10658098.0,22,total
Jul,10544083.0,23,total
Jul,4990625.0,0,male
Jul,4982598.0,1,male
Jul,4977831.0,2,male
Jul,4974750.0,3,male
Jul,4973840.0,4,male
Jul,4976547.0,5,male
Jul,4995166.0,6,male
Jul,5054166.0,7,male
Jul,5120435.0,8,male
Jul,5167198.0,9,male
Jul,5189263.0,10,male
Jul,5199057.0,11,male
Jul,5210033.0,12,male
Jul,5223906.0,13,male
Jul,5232886.0,14,male
Jul,5237340.0,15,male
Jul,5239531.0,16,male
Jul,5239789.0,17,male
Jul,5218437.0,18,male
Jul,5170840.0,19,male
Jul,5136395.0,20,male
Jul,5107052.0,21,male
Jul,5065130.0,22,male
Jul,5007635.0,23,male
Jul,5522702.0,0,female
Jul,5517716.0,1,female
Jul,5514939.0,2,female
Jul,5513036.0,3,female
Jul,5513469.0,4,female
Jul,5515701.0,5,female
Jul,5529174.0,6,female
Jul,5588408.0,7,female
Jul,5682016.0,8,female
Jul,5750315.0,9,female
Jul,5789717.0,10,female
Jul,5814746.0,11,female
Jul,5834046.0,12,female
Jul,5850377.0,13,female
Jul,5856934.0,14,female
Jul,5853200.0,15,female
Jul,5839860.0,16,female
Jul,5821115.0,17,female
Jul,5778311.0,18,female
Jul,5716325.0,19,female
Jul,5674721.0,20,female
Jul,5638448.0,21,female
Jul,5592745.0,22,female
Jul,5536236.0,23,female
Jul,10789155.000000011,avg,total
Jul,5112102.08333333,avg,male
Jul,5676844.041666667,avg,female
Jun,10588290.0,0,total
Jun,10575824.0,1,total
Jun,10567719.0,2,total
Jun,10562671.0,3,total
Jun,10561937.0,4,total
Jun,10564152.0,5,total
Jun,10589873.0,6,total
Jun,10693270.0,7,total
Jun,10831859.0,8,total
Jun,10935070.0,9,total
Jun,10990391.0,10,total
Jun,11026577.0,11,total
Jun,11056751.0,12,total
Jun,11086310.0,13,total
Jun,11104898.0,14,total
Jun,11108329.0,15,total
Jun,11101750.0,16,total
Jun,11091635.0,17,total
Jun,11040761.0,18,total
Jun,10947898.0,19,total
Jun,10880826.0,20,total
Jun,10815963.0,21,total
Jun,10731799.0,22,total
Jun,10618784.0,23,total
Jun,5021288.0,0,male
Jun,5013201.0,1,male
Jun,5008014.0,2,male
Jun,5004972.0,3,male
Jun,5004100.0,4,male
Jun,5004647.0,5,male
Jun,5018847.0,6,male
Jun,5070627.0,7,male
Jun,5126941.0,8,male
