,adm_nm,adm_cd,adm_cd2,lng,lat
202,서울특별시 서대문구 충현동,1113073,1141056500,126.9594039,37.56430268
203,서울특별시 서대문구 북아현동,1113074,1141055500,126.9554574,37.55931491
204,서울특별시 서대문구 신촌동,1113075,1141058500,126.9382477,37.56595788
205,서울특별시 서대문구 연희동,1113076,1141061500,126.9318029,37.57241495
206,서울특별시 마포구 용강동,1114059,1144059000,126.9423517,37.54045974
207,서울특별시 마포구 대흥동,1114060,1144060000,126.9402651,37.55105256
208,서울특별시 마포구 염리동,1114061,1144061000,126.9471842,37.55014088
209,서울특별시 마포구 신수동,1114063,1144063000,126.9330984,37.54472273
210,서울특별시 마포구 서교동,1114066,1144066000,126.9228321,37.55503231
211,서울특별시 마포구 합정동,1114068,1144068000,126.9085259,37.54718775
212,서울특별시 마포구 망원1동,1114069,1144069000,126.9007063,37.55218256
213,서울특별시 마포구 망원2동,1114070,1144070000,126.8956776,37.55673734
214,서울특별시 마포구 연남동,1114071,1144071000,126.9224548,37.56249186
215,서울특별시 마포구 성산1동,1114072,1144072000,126.9108674,37.56217876
216,서울특별시 마포구 성산2동,1114073,1144073000,126.9044526,37.56767639
217,서울특별시 마포구 상암동,1114074,1144074000,126.8802706,37.57270092
218,서울특별시 마포구 도화동,1114075,1144058500,126.9467442,37.53640803
219,서울특별시 마포구 서강동,1114076,1144065500,126.9242948,37.54626793
220,서울특별시 마포구 공덕동,1114077,1144056500,126.9568408,37.54971937
221,서울특별시 마포구 아현동,1114078,1144055500,126.9532388,37.55045074
222,서울특별시 양천구 목1동,1115051,1147051000,126.8762465,37.52704494
223,서울특별시 양천구 목2동,1115052,1147052000,126.8756598,37.54272155
224,서울특별시 양천구 목3동,1115053,1147053000,126.8664307,37.54533645
225,서울특별시 양천구 목4동,1115054,1147054000,126.868082,37.53479553
226,서울특별시 양천구 신월1동,1115057,1147056000,126.8344975,37.53123202
227,서울특별시 양천구 신월2동,1115058,1147057000,126.8460827,37.52244124
228,서울특별시 양천구 신월3동,1115059,1147058000,126.8283344,37.53253311
229,서울특별시 양천구 신월4동,1115060,1147059000,126.8396661,37.52181194
230,서울특별시 양천구 신월5동,1115061,1147060000,126.8299742,37.54122
231,서울특별시 양천구 신월6동,1115062,1147061000,126.8417476,37.51655504
232,서울특별시 양천구 신월7동,1115063,1147061100,126.8323254,37.52039697
233,서울특별시 양천구 신정1동,1115064,1147062000,126.8598953,37.5181243
234,서울특별시 양천구 신정2동,1115065,1147063000,126.874912,37.5187059
235,서울특별시 양천구 신정3동,1115066,1147064000,126.840648,37.5113381
236,서울특별시 양천구 신정6동,1115069,1147067000,126.8704118,37.51624327
237,서울특별시 양천구 신정7동,1115070,1147068000,126.8647083,37.510922
238,서울특별시 양천구 목5동,1115071,1147055000,126.8794105,37.53711739
239,서울특별시 양천구 신정4동,1115072,1147065000,126.8571462,37.52545829
240,서울특별시 강서구 염창동,1116051,1150051000,126.8763951,37.55373794
241,서울특별시 강서구 등촌1동,1116052,1150052000,126.8598137,37.55599745
242,서울특별시 강서구 등촌2동,1116053,1150053000,126.8594037,37.54479364
243,서울특별시 강서구 등촌3동,1116054,1150053500,126.8466963,37.56152231
244,서울특별시 강서구 화곡본동,1116055,1150059000,126.8481909,37.54278167
245,서울특별시 강서구 화곡2동,1116057,1150055000,126.8547901,37.53253845
246,서울특별시 강서구 화곡3동,1116058,1150056000,126.8350908,37.54392312
247,서울특별시 강서구 화곡4동,1116059,1150057000,126.8581115,37.53590047
248,서울특별시 강서구 화곡6동,1116061,1150059100,126.8511056,37.55160324
249,서울특별시 강서구 화곡8동,1116063,1150059300,126.8478953,37.53344661
250,서울특별시 강서구 가양1동,1116064,1150060300,126.8354385,37.57345977
251,서울특별시 강서구 가양2동,1116065,1150060400,126.8542332,37.56834308
252,서울특별시 강서구 가양3동,1116066,1150060500,126.8622174,37.56279437
253,서울특별시 강서구 발산1동,1116067,1150061100,126.8259021,37.55028794
254,서울특별시 강서구 공항동,1116069,1150062000,126.7957497,37.5565654
255,서울특별시 강서구 방화1동,1116070,1150063000,126.8152711,37.56856416
256,서울특별시 강서구 방화2동,1116071,1150064000,126.8034086,37.58318382
257,서울특별시 강서구 방화3동,1116072,1150064100,126.8153851,37.5829593
258,서울특별시 강서구 화곡1동,1116073,1150054000,126.8413371,37.5341008
259,서울특별시 강서구 우장산동,1116074,1150061500,126.8416843,37.5500948
260,서울특별시 구로구 신도림동,1117051,1153051000,126.884309,37.51017766
261,서울특별시 구로구 구로1동,1117052,1153052000,126.8743436,37.49273302
262,서울특별시 구로구 구로3동,1117054,1153054000,126.8947186,37.48529265
263,서울특별시 구로구 구로4동,1117055,1153055000,126.8897344,37.49134956
264,서울특별시 구로구 구로5동,1117056,1153056000,126.886838,37.50172474
265,서울특별시 구로구 고척1동,1117061,1153072000,126.8634061,37.50000324
266,서울특별시 구로구 고척2동,1117062,1153073000,126.8540239,37.50502783
267,서울특별시 구로구 개봉2동,1117064,1153075000,126.8582239,37.49285142
268,서울특별시 구로구 개봉3동,1117065,1153076000,126.8538737,37.48625549
269,서울특별시 구로구 오류1동,1117067,1153077000,126.8424427,37.49690649
270,서울특별시 구로구 오류2동,1117068,1153078000,126.8346273,37.48450846
271,서울특별시 구로구 수궁동,1117069,1153079000,126.8253738,37.4985835
272,서울특별시 구로구 가리봉동,1117070,1153059500,126.8881605,37.48289986
273,서울특별시 구로구 구로2동,1117071,1153053000,126.8792196,37.49675336
274,서울특별시 구로구 개봉1동,1117072,1153074000,126.8512766,37.50091654
275,서울특별시 금천구 가산동,1118051,1154551000,126.8852171,37.47548548
276,서울특별시 금천구 독산1동,1118052,1154561000,126.8921135,37.46543629
277,서울특별시 금천구 독산2동,1118053,1154562000,126.9048798,37.46269319
278,서울특별시 금천구 독산3동,1118054,1154563000,126.904974,37.47611891
279,서울특별시 금천구 독산4동,1118055,1154564000,126.9050155,37.46931796
280,서울특별시 금천구 시흥1동,1118057,1154567000,126.8996177,37.45331589
281,서울특별시 금천구 시흥2동,1118058,1154568000,126.9204798,37.45068661
282,서울특별시 금천구 시흥3동,1118059,1154569000,126.9067226,37.44051421
283,서울특별시 금천구 시흥4동,1118060,1154570000,126.9092581,37.45948172
284,서울특별시 금천구 시흥5동,1118061,1154571000,126.9120069,37.44899285
285,서울특별시 영등포구 여의동,1119054,1156054000,126.9290577,37.52866099
286,서울특별시 영등포구 당산1동,1119055,1156055000,126.8971082,37.5241255
287,서울특별시 영등포구 당산2동,1119056,1156056000,126.903673,37.533466
288,서울특별시 영등포구 양평1동,1119061,1156061000,126.8869754,37.52565427
289,서울특별시 영등포구 양평2동,1119062,1156062000,126.8946607,37.53969259
290,서울특별시 영등포구 신길1동,1119063,1156063000,126.9198731,37.51254766
291,서울특별시 영등포구 신길3동,1119065,1156065000,126.9046316,37.50686578
292,서울특별시 영등포구 신길4동,1119066,1156066000,126.9131418,37.50750147
293,서울특별시 영등포구 신길5동,1119067,1156067000,126.9053842,37.50095438
294,서울특별시 영등포구 신길6동,1119068,1156068000,126.9144965,37.49844691
295,서울특별시 영등포구 신길7동,1119069,1156069000,126.9194735,37.50752913
296,서울특별시 영등포구 대림1동,1119070,1156070000,126.9046892,37.49318695
297,서울특별시 영등포구 대림2동,1119071,1156071000,126.9008504,37.48990836
298,서울특별시 영등포구 대림3동,1119072,1156072000,126.898527,37.5001278
299,서울특별시 영등포구 영등포본동,1119073,1156051500,126.9083176,37.51373013
300,서울특별시 영등포구 영등포동,1119074,1156053500,126.9092331,37.52364027
