bbl,bldgclass,bldgclass_letter,borough,counts,lng,lat
3063220016,A1,A,BK,145592,-74.01212807138731,40.61459379274526
3087510441,A1,A,BK,90430,-73.94389044796642,40.57833684207969
3042840037,A1,A,BK,118122,-73.8673633556872,40.671242212528234
3078980054,A1,A,BK,36063,-73.92322251458371,40.61851334257124
3052390055,A1,A,BK,165099,-73.95955526996718,40.63427180569412
3052400093,A1,A,BK,157129,-73.95876154997967,40.633384444584486
3086350033,A1,A,BK,109962,-73.90740608314714,40.61236870131958
3052440017,A1,A,BK,120331,-73.95472606352631,40.63404885064144
3052440046,A1,A,BK,119080,-73.95464134060629,40.63549805848381
3068110067,A1,A,BK,71509,-73.94504535513927,40.6082395737441
3084920019,A1,A,BK,36802,-73.92427932153338,40.61548561295595
3085240051,A1,A,BK,58510,-73.92882314550684,40.61050479707925
3004160027,A1,A,BK,129092,-73.98929747399367,40.682002023370195
3047650053,A1,A,BK,64982,-73.92553232892939,40.6455756268646
3075880064,A1,A,BK,91709,-73.95217545772374,40.62749397209288
3077660009,A1,A,BK,99461,-73.93735340582208,40.627823945570825
3051990025,A1,A,BK,171534,-73.96457621775336,40.63545346747328
3088451996,A1,A,BK,192207,-73.9188169227429,40.58638997858222
3078630003,A1,A,BK,69373,-73.93437026721733,40.616537960804564
3064100054,A1,A,BK,56364,-73.99961137473029,40.60135918081863
3088762654,A1,A,BK,45260,-73.92609863476318,40.589016389102696
3066540026,A1,A,BK,35116,-73.97558127915327,40.605149416714056
3077020046,A1,A,BK,69946,-73.9429540367452,40.61313566670078
3077020053,A1,A,BK,69175,-73.94274445899569,40.61281907052599
3077020058,A1,A,BK,69961,-73.94252596304408,40.61262287007964
3084600026,A1,A,BK,218997,-73.90020017584477,40.61576653632231
3055330060,A1,A,BK,47385,-73.98787502075763,40.6199045820999
3048970026,A1,A,BK,170522,-73.93639023999454,40.65047171982128
3052460066,A1,A,BK,108812,-73.95251880850485,40.63469542029419
3052520021,A1,A,BK,70623,-73.9485858813757,40.63523943062272
3053600064,A1,A,BK,141766,-73.97109542349351,40.64218225096293
3054320056,A1,A,BK,116402,-73.98127555119852,40.632403442352725
3054320058,A1,A,BK,114132,-73.98141824243223,40.63248816527275
3054480074,A1,A,BK,140620,-73.98426760800537,40.630561833617655
3073270005,A1,A,BK,46349,-73.9494018968685,40.60165794058921
3054550070,A1,A,BK,177016,-73.98307702802411,40.62889858892471
3054730009,A1,A,BK,179506,-73.98464663159493,40.627632204225534
3076050054,A1,A,BK,98848,-73.95275959996174,40.62555426313463
3054800038,A1,A,BK,149624,-73.98158768827226,40.624733788540794
3054800060,A1,A,BK,155257,-73.9823501945524,40.62484080696608
3054800061,A1,A,BK,155527,-73.98241262196714,40.62487647977451
3054900022,A1,A,BK,169843,-73.98571681584774,40.62540711279986
3055000040,A1,A,BK,84163,-73.97922436471396,40.61980202277569
3055130069,A1,A,BK,85175,-73.98424085339906,40.620511019843185
3055150015,A1,A,BK,68085,-73.97966581571822,40.61810310527432
3075680023,A1,A,BK,100766,-73.95480632734527,40.629455976556386
3055330021,A1,A,BK,50698,-73.98765206570495,40.620123078051535
3055750045,A1,A,BK,31762,-73.9949560732305,40.618932498070265
3059750025,A1,A,BK,159212,-74.03756278379616,40.63067331114399
3051490041,A1,A,BK,130273,-73.96157078364334,40.6430473165673
3067850038,A1,A,BK,62180,-73.95051667213185,40.60935434900747
3042120009,A1,A,BK,95385,-73.87336976480618,40.67595548234173
3087310049,A1,A,BK,96875,-73.94808646205773,40.5801650735116
3077030032,A1,A,BK,69149,-73.94234313990088,40.6132872761366
3078850079,A1,A,BK,66914,-73.93346506970347,40.614656220160015
3057540059,A1,A,BK,51555,-74.00079303650945,40.62483188876398
3062310025,A1,A,BK,50646,-74.01148150173456,40.621492022074925
3077120040,A1,A,BK,69867,-73.94099203228168,40.61124946695518
3059740011,A1,A,BK,77704,-74.01558833380479,40.622151969030845
3059740030,A1,A,BK,65490,-74.0145627405625,40.62153215398443
3059740031,A1,A,BK,65252,-74.0145047722488,40.62150094027704
3059740041,A1,A,BK,64699,-74.01393846641501,40.62115758949594
3068400045,A1,A,BK,80378,-73.94052828577213,40.607080207470204
3048760005,A1,A,BK,85332,-73.94070664981427,40.65290638899647
3060010044,A1,A,BK,97625,-74.0183173036495,40.62057344725793
3060120017,A1,A,BK,105061,-74.0175815519757,40.61970838165356
3060120052,A1,A,BK,114383,-74.01697511423241,40.61899492548501
3060210020,A1,A,BK,116079,-74.01969962497607,40.620082946142055
3060210022,A1,A,BK,117320,-74.0196193611571,40.62003835513152
3059870056,A1,A,BK,130816,-74.03037917199907,40.62753410400236
3077020032,A1,A,BK,69876,-73.94301200505889,40.6126451655849
3076500066,A1,A,BK,102428,-73.94315915539367,40.62102381646433
3060420050,A1,A,BK,153649,-74.03464207260616,40.623712654399554
3061590015,A1,A,BK,33173,-73.99680660016767,40.619137616718724
3077020034,A1,A,BK,69893,-73.94308335067576,40.61270759299965
3047030033,A1,A,BK,44168,-73.92478765905346,40.65091762992663
3065190031,A1,A,BK,129600,-73.96957487003428,40.62527779886933
3061900062,A1,A,BK,36521,-74.00282192748877,40.61969946345146
3061960049,A1,A,BK,74976,-73.9886330679367,40.611115693923566
3061960051,A1,A,BK,75967,-73.98874454546305,40.611178121338305
3077950035,A1,A,BK,64123,-73.93039274907765,40.627386953667596
3049500020,A1,A,BK,96574,-73.9450899461498,40.64256127455248
3062120060,A1,A,BK,34932,-74.0038831935395,40.61849996526808
3075870035,A1,A,BK,94951,-73.95354886084819,40.62780610916662
3054580025,A1,A,BK,112377,-73.9872908785196,40.630918561701925
3078970021,A1,A,BK,37500,-73.92455132669764,40.61808972797115
3066550066,A1,A,BK,35977,-73.97516658275529,40.60589854569104
3010940050,A1,A,BK,179224,-73.98036143548256,40.66484786161759
3049930028,A1,A,BK,54420,-73.9321897668022,40.63824486473274
3078820077,A1,A,BK,58901,-73.91956159261883,40.62009632344521
3085260064,A1,A,BK,49785,-73.92687005924543,40.61095070718459
3066900077,A1,A,BK,160365,-73.96288621845412,40.630958693611404
3066910007,A1,A,BK,157541,-73.96304228699098,40.63043697878816
3053230078,A1,A,BK,192358,-73.98089652760898,40.64662351561216
3076510018,A1,A,BK,99078,-73.94252596304408,40.62072505669375
3084040040,A1,A,BK,77267,-73.91594080256341,40.6165825518151
3047230040,A1,A,BK,62029,-73.92866261786891,40.648500797155656
3066020037,A1,A,BK,23702,-73.9782121487748,40.60905558923689
3077960014,A1,A,BK,59484,-73.92934040122904,40.62635244222319
3077960017,A1,A,BK,59853,-73.92934931943114,40.626419328739004
3052420067,A1,A,BK,141986,-73.95628228979396,40.634169246369886
3067200023,A1,A,BK,125394,-73.95802579830585,40.62433246944599
3067200020,A1,A,BK,124465,-73.95798120729532,40.624118432595424
3067200025,A1,A,BK,125941,-73.95806593021534,40.62455096539761
3068000074,A1,A,BK,52639,-73.95576949317281,40.607374508139735
3068000077,A1,A,BK,52355,-73.95580070688018,40.607539494878715
3066510034,A1,A,BK,28202,-73.97828349439166,40.60445825605077
3067230045,A1,A,BK,71353,-73.96279703643305,40.62039062411474
3076830045,A1,A,BK,94429,-73.94556706996252,40.61691252529305
3077440062,A1,A,BK,104784,-73.93722409189152,40.63123069877567
3077440078,A1,A,BK,111201,-73.93713490987048,40.630361174070245
3067250049,A1,A,BK,79201,-73.96117392364958,40.62056006995477
3078860069,A1,A,BK,67460,-73.93269364522124,40.61507091655798
3052410079,A1,A,BK,148367,-73.95708938708464,40.63341565829185
3076080010,A1,A,BK,101797,-73.95007522112756,40.624229910121755
3076590044,A1,A,BK,144070,-73.95164036559731,40.618678329310214
3051460064,A1,A,BK,182037,-73.96390735259534,40.64215995545767
3067450054,A1,A,BK,91744,-73.9583646899859,40.615998409577095
3051450092,A1,A,BK,186587,-73.9652629193156,40.6421465781545
3052420069,A1,A,BK,141384,-73.95625999428869,40.634062227944604
3051800074,A1,A,BK,188424,-73.96275244542251,40.63889589348655
3068080016,A1,A,BK,75952,-73.94758258363868,40.6086319746368
3068080018,A1,A,BK,75026,-73.9475513699313,40.60846698789783
3059960001,A1,A,BK,143387,-74.03219402612783,40.62706589839175
3066160027,A1,A,BK,80236,-73.96388951619113,40.61106664381199
3067320097,A1,A,BK,68459,-73.96290405485833,40.6196860861483
3071060062,A1,A,BK,83588,-73.96871872263202,40.5991028756856
3067610016,A1,A,BK,90577,-73.95923421469134,40.61223492828799
3068160032,A1,A,BK,71385,-73.94135321946702,40.60921611687481
3089550104,A1,A,BK,170396,-73.9293537785322,40.59609744157557
3070850157,A1,A,BK,52414,-73.9751576645532,40.60063680644798
3053570083,A1,A,BK,111260,-73.97513982814898,40.64274409769566
3050650013,A1,A,BK,88806,-73.95593893901284,40.65456517458835
3078240069,A1,A,BK,89046,-73.93255987218963,40.624100596191205
3074410321,A1,A,BK,33320,-73.94786350700505,40.589725386170194
3076990073,A1,A,BK,77387,-73.93775026581584,40.61739856730789
3071050075,A1,A,BK,82269,-73.9692671920616,40.598960184451876
3065280063,A1,A,BK,102165,-73.96848684937724,40.62284758879519
3059870071,A1,A,BK,138559,-74.03128882861397,40.62774814085292
3059870059,A1,A,BK,133020,-74.03060212705174,40.627587613215006
3059870065,A1,A,BK,135703,-74.03098115064128,40.62767679523606
3067860058,A1,A,BK,68196,-73.95019115775494,40.61008118247917
3067860047,A1,A,BK,64513,-73.95017332135073,40.60938556271484
3067860053,A1,A,BK,66705,-73.95013318944126,40.60979580001175
3020290002,A1,A,BK,117741,-73.97522901017004,40.69674827055395
3068090040,A1,A,BK,75097,-73.94649456298164,40.60783825464929
3078410021,A1,A,BK,93441,-73.93367464745299,40.62199144139293
3062980059,A1,A,BK,39602,-73.99485797300731,40.6065451153438
3068110077,A1,A,BK,71673,-73.945107782554,40.60858738362627
3068110080,A1,A,BK,71357,-73.94513453716033,40.60871669755681
3058380047,A1,A,BK,191919,-74.0294472198789,40.63966731796878
3067900013,A1,A,BK,69931,-73.94614675309947,40.61101313459935
3059940056,A1,A,BK,173851,-74.03601993483167,40.628069196128784
3068090033,A1,A,BK,73210,-73.9465748268006,40.6082484919462
3076500031,A1,A,BK,101102,-73.94360506549901,40.62139838095281
3078660021,A1,A,BK,76641,-73.93309050521499,40.618303764821725
3078600069,A1,A,BK,77972,-73.93501683687008,40.61936057177139
3051430034,A1,A,BK,169106,-73.96714020085909,40.642084150739755
3068280012,A1,A,BK,65559,-73.95004400742019,40.606228519168994
3068300043,A1,A,BK,60132,-73.94785458880294,40.60475255672031
3049300126,A1,A,BK,78286,-73.9481176757651,40.643997105091685
3066610073,A1,A,BK,75649,-73.96918246914157,40.60654511534379
3068320007,A1,A,BK,72232,-73.94635187174794,40.60679928410383
3075870038,A1,A,BK,95004,-73.95357115635346,40.627922045794016
3051890070,A1,A,BK,65388,-73.95511846441902,40.64197267321342
3066870033,A1,A,BK,129590,-73.96456284045018,40.630432519687105
3066960078,A1,A,BK,128776,-73.96468323617864,40.62901452555211
3048610051,A1,A,BK,97154,-73.94014034398049,40.65442694245569
3076420001,A1,A,BK,154763,-73.95049883572764,40.6193026034577
3070860091,A1,A,BK,62721,-73.97410977580563,40.601319048909154
3062980038,A1,A,BK,38770,-73.99355591549971,40.606072450632126
3077680027,A1,A,BK,94611,-73.93540031956067,40.628987770945784
3068400049,A1,A,BK,79882,-73.94070219071321,40.60723627600708
3076440062,A1,A,BK,136610,-73.94891585485367,40.620622497369524
3076260077,A1,A,BK,121419,-73.94921461462422,40.62221885554666
3076690039,A1,A,BK,91798,-73.94222720327349,40.619712840754616
3078850077,A1,A,BK,66906,-73.93357208812876,40.614754320383184
3082020035,A1,A,BK,112064,-73.90242080816938,40.64187457299024
3085400029,A1,A,BK,52509,-73.92583108869997,40.60958622226224
3075870023,A1,A,BK,95622,-73.95342846511974,40.62717737591809
3068100086,A1,A,BK,74274,-73.9461155393921,40.60891289800317
3067980075,A1,A,BK,52476,-73.95773149763633,40.607115880278634
3064600231,A1,A,BK,129193,-74.01378239787815,40.60410598706755
3077120056,A1,A,BK,77758,-73.9399842754436,40.61034426944133
3068340059,A1,A,BK,57494,-73.94456377222551,40.60570680434574
3067100023,A1,A,BK,133755,-73.95909152345763,40.626869697945395
3067190052,A1,A,BK,129671,-73.95907368705342,40.624773920450274
3067190054,A1,A,BK,129596,-73.95905139154814,40.62466690202499
3067190058,A1,A,BK,130152,-73.95901125963867,40.62444840607338
3068050074,A1,A,BK,66176,-73.95074408628558,40.60794973217563
3068260007,A1,A,BK,57317,-73.95205060289423,40.60617946905741
3068320020,A1,A,BK,66003,-73.94616013040263,40.60605907332897
3068320021,A1,A,BK,65391,-73.94614229399842,40.605965432206844
3068330031,A1,A,BK,60325,-73.9451479144635,40.60572909985102
3088661790,A1,A,BK,55269,-73.92571961117363,40.58713464845814
3084760053,A1,A,BK,85365,-73.93669345886617,40.61085706606248
3070400033,A1,A,BK,55286,-74.00982717524371,40.57484536595484
3071200050,A1,A,BK,57847,-73.97791338900423,40.59480430227006
3067910042,A1,A,BK,73617,-73.94542437872882,40.61026400562236
3076100068,A1,A,BK,85482,-73.94789472071243,40.62523766695983
3076130067,A1,A,BK,71679,-73.94498292772452,40.62566574066096
3083100008,A1,A,BK,244515,-73.88333585566063,40.63866402023176
3067560060,A1,A,BK,111271,-73.95603703923604,40.613764399949325
3067320084,A1,A,BK,66103,-73.96279257733198,40.61909302570819
3076410033,A1,A,BK,135168,-73.95216653952163,40.6205288562474
3076420004,A1,A,BK,152158,-73.95072179078029,40.61928030795244
3067010074,A1,A,BK,145476,-73.9594393333398,40.62860874735623
3081470060,A1,A,BK,70298,-73.90389231151703,40.64748412211548
3066960063,A1,A,BK,122237,-73.96452716764178,40.628189591857215
3077470011,A1,A,BK,80361,-73.93462889507842,40.63053507901134
3078240073,A1,A,BK,89224,-73.93254203578542,40.623931150351176
3078290013,A1,A,BK,63560,-73.92814536214671,40.62404262787752
3072970047,A1,A,BK,53554,-73.95351318803976,40.60168023609448
3072970067,A1,A,BK,58257,-73.9538922116293,40.602469496980945
3072970075,A1,A,BK,59783,-73.95397247544827,40.60288865247996
3078450033,A1,A,BK,70216,-73.92990670706281,40.622825293289914
3083010012,A1,A,BK,201325,-73.88903458680696,40.63494067085213
3078700037,A1,A,BK,68856,-73.9316145427663,40.62052439714633
3078920004,A1,A,BK,51430,-73.9289613776395,40.61670740664459
3059670033,A1,A,BK,152581,-74.03225645354257,40.629897427560685
3080240015,A1,A,BK,99953,-73.90665695417016,40.63779003642528
3087570086,A1,A,BK,60448,-73.9383656217612,40.58061098361695
3067290055,A1,A,BK,116657,-73.95732126033941,40.62252207441828
3067290057,A1,A,BK,115814,-73.95729896483414,40.622415055992995
3084910043,A1,A,BK,34510,-73.92493035028718,40.61628825114556
3067470050,A1,A,BK,114455,-73.9560102846297,40.616257037438196
3067510049,A1,A,BK,95130,-73.9602241351252,40.61307769838709
3067510075,A1,A,BK,96358,-73.96089300028322,40.61408991432622
3068110052,A1,A,BK,66858,-73.94492050030976,40.60745477195869
3068120064,A1,A,BK,67832,-73.94404651650332,40.60804783239881
3068120066,A1,A,BK,68227,-73.94407773021068,40.60821281913779
3066890012,A1,A,BK,157818,-73.96307350069836,40.632046714268455
3052420036,A1,A,BK,151432,-73.95677725001089,40.63485148883107
3068240069,A1,A,BK,64643,-73.95438717184625,40.60510482570353
3068290066,A1,A,BK,64781,-73.94933055125163,40.60550614479833
3079920060,A1,A,BK,84235,-73.90972927479599,40.6409782936785
3048570024,A1,A,BK,76794,-73.94392612077486,40.654386810546214
3068310032,A1,A,BK,64339,-73.94699398229963,40.60546155378781
3059290074,A1,A,BK,113710,-74.02716861924058,40.63154729495046
3068010038,A1,A,BK,60381,-73.95435595813886,40.60685279331648
3067550029,A1,A,BK,112165,-73.95675941360668,40.614544742633676
3062900027,A1,A,BK,77463,-74.01433086730772,40.61865603380493
3066840005,A1,A,BK,59099,-73.96384046607955,40.60487295244875
3077660006,A1,A,BK,99629,-73.93710369616309,40.62784178197504
3077660011,A1,A,BK,100548,-73.93725976469997,40.628020146017185
3077900039,A1,A,BK,91561,-73.93485630923215,40.627297771646525
3077950067,A1,A,BK,64073,-73.92995575717443,40.62672700671169
3056850020,A1,A,BK,73216,-73.99265963618797,40.629598667790106
3078820007,A1,A,BK,56168,-73.91979792497466,40.61963257693566
3079030045,A1,A,BK,61074,-73.91852262207338,40.61922233963874
3079030047,A1,A,BK,62489,-73.91840668544599,40.61922679873979
3039300039,A1,A,BK,111017,-73.88073619974648,40.682296324039726
3089140098,A1,A,BK,162497,-73.92388692064068,40.59001076863761
3050140015,A1,A,BK,82210,-73.93894530489816,40.63511011669217
