기간,자치구,행정동,인구
기간,자치구,행정동,합계
기간,자치구,행정동,계
2019.1/4,관악구,보라매동,"26,511"
2019.1/4,관악구,청림동,"16,411"
2019.1/4,관악구,행운동,"30,523"
2019.1/4,관악구,낙성대동,"17,919"
2019.1/4,관악구,중앙동,"15,791"
2019.1/4,관악구,인헌동,"27,271"
2019.1/4,관악구,남현동,"19,091"
2019.1/4,관악구,서원동,"24,096"
2019.1/4,관악구,신원동,"20,121"
2019.1/4,관악구,서림동,"24,883"
2019.1/4,관악구,신사동,"26,466"
2019.1/4,관악구,신림동,"22,515"
2019.1/4,관악구,난향동,"16,671"
2019.1/4,관악구,조원동,"19,748"
2019.1/4,관악구,대학동,"24,895"
2019.1/4,관악구,은천동,"35,713"
2019.1/4,관악구,성현동,"32,819"
2019.1/4,관악구,청룡동,"30,750"
2019.1/4,관악구,난곡동,"29,390"
2019.1/4,관악구,삼성동,"25,881"
2019.1/4,관악구,미성동,"33,180"
2019.1/4,서초구,소계,"437,007"
2019.1/4,서초구,서초1동,"21,566"
2019.1/4,서초구,서초2동,"18,614"
2019.1/4,서초구,서초3동,"30,876"
2019.1/4,서초구,서초4동,"31,899"
2019.1/4,서초구,잠원동,"34,745"
2019.1/4,서초구,반포본동,"12,383"
2019.1/4,서초구,반포1동,"33,200"
2019.1/4,서초구,반포2동,"16,490"
2019.1/4,서초구,반포3동,"20,255"
2019.1/4,서초구,반포4동,"20,474"
2019.1/4,서초구,방배본동,"21,674"
2019.1/4,서초구,방배1동,"17,680"
2019.1/4,서초구,방배2동,"21,629"
2019.1/4,서초구,방배3동,"22,491"
2019.1/4,서초구,방배4동,"24,424"
2019.1/4,서초구,양재1동,"46,412"
2019.1/4,서초구,양재2동,"23,641"
2019.1/4,서초구,내곡동,"18,554"
2019.1/4,강남구,소계,"546,875"
2019.1/4,강남구,신사동,"17,761"
2019.1/4,강남구,논현1동,"23,985"
2019.1/4,강남구,논현2동,"22,204"
2019.1/4,강남구,삼성1동,"15,109"
2019.1/4,강남구,삼성2동,"30,508"
2019.1/4,강남구,대치1동,"25,395"
2019.1/4,강남구,대치4동,"20,945"
2019.1/4,강남구,역삼1동,"36,916"
2019.1/4,강남구,역삼2동,"36,737"
2019.1/4,강남구,도곡1동,"22,768"
2019.1/4,강남구,도곡2동,"34,484"
2019.1/4,강남구,개포1동,"7,272"
2019.1/4,강남구,개포4동,"18,697"
2019.1/4,강남구,일원본동,"24,615"
2019.1/4,강남구,일원1동,"16,850"
2019.1/4,강남구,일원2동,"17,957"
2019.1/4,강남구,수서동,"16,247"
2019.1/4,강남구,세곡동,"45,289"
2019.1/4,강남구,압구정동,"27,980"
2019.1/4,강남구,청담동,"30,181"
2019.1/4,강남구,대치2동,"39,424"
2019.1/4,강남구,개포2동,"15,551"
2019.1/4,송파구,소계,"685,361"
2019.1/4,송파구,풍납1동,"16,099"
2019.1/4,송파구,풍납2동,"25,007"
2019.1/4,송파구,거여1동,"13,337"
2019.1/4,송파구,거여2동,"17,173"
2019.1/4,송파구,마천1동,"21,183"
2019.1/4,송파구,마천2동,"20,563"
2019.1/4,송파구,방이1동,"16,516"
