기간	자치구	행정동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	행정동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	행정동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2019.3/4	은평구	갈현2동	12,581	30,235	14,392	15,843	29,865	14,249	15,616	370	143	227	2.37	4,661
2019.3/4	은평구	구산동	13,097	33,843	16,835	17,008	33,603	16,729	16,874	240	106	134	2.57	5,750
2019.3/4	은평구	대조동	14,629	29,784	14,013	15,771	29,396	13,855	15,541	388	158	230	2.01	5,126
2019.3/4	은평구	응암1동	11,362	25,747	12,290	13,457	25,438	12,167	13,271	309	123	186	2.24	4,003
2019.3/4	은평구	응암2동	9,382	23,882	11,655	12,227	23,663	11,562	12,101	219	93	126	2.52	3,153
2019.3/4	은평구	신사1동	11,710	28,658	13,882	14,776	28,409	13,790	14,619	249	92	157	2.43	4,613
2019.3/4	은평구	신사2동	9,190	21,998	10,990	11,008	21,836	10,939	10,897	162	51	111	2.38	3,602
2019.3/4	은평구	증산동	6,911	16,254	7,986	8,268	16,113	7,931	8,182	141	55	86	2.33	2,964
2019.3/4	은평구	수색동	3,888	9,094	4,530	4,564	9,024	4,499	4,525	70	31	39	2.32	1,753
2019.3/4	은평구	진관동	21,499	58,038	27,290	30,748	57,800	27,196	30,604	238	94	144	2.69	7,483
