adm_cd2,2019.1/4,2019.2/4,2019.3/4
11710690,27790,23856,22371
11710710,17434,17471,17522
11710720,10309,10258,10244
11740515,32669,32535,32377
11740520,11127,11113,10943
11740530,22356,22405,26212
11740540,18034,17968,18000
11740550,27360,27405,27334
11740560,7521,7349,7419
11740570,37621,37313,36975
11740580,14648,14628,14557
11740590,18940,18948,18821
11740600,28966,28891,28623
11740610,36228,36203,36078
11740620,28452,28370,28294
11740640,20922,20733,20648
11740650,25608,25556,25300
11740660,23956,24042,23991
11740685,46839,46835,46720
11740690,298,289,287
11740700,28056,27964,27943
